date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2009-12-28,antequera,35000,0.0,14.9,0.0
2009-12-28,baeza,72000,0.0,11.4,0.0
2009-12-28,baza,28000,0.0,13.4,0.0
2009-12-28,cabra,52000,0.0,14.4,0.0
2009-12-28,cordoba_capital,140000,0.0,14.3,0.0
2009-12-28,ecija,42000,0.0,16.2,0.0
2009-12-28,granada_capital,55000,0.0,14.0,0.0
2009-12-28,jaen_capital,165000,0.0,13.4,0.0
2009-12-28,linares,45000,0.0,13.4,0.0
2009-12-28,lucena,88000,0.0,13.8,0.0
2009-12-28,martos,68000,0.0,12.8,0.0
2009-12-28,sevilla_capital,75000,0.0,16.1,0.0
2009-12-28,ubeda,98000,0.0,11.6,0.0
2010-01-04,antequera,35000,0.0,12.9,0.0
2010-01-04,baeza,72000,0.0,11.2,0.0
2010-01-04,baza,28000,0.0,12.9,0.0
2010-01-04,cabra,52000,0.0,13.4,0.0
2010-01-04,cordoba_capital,140000,0.0,13.9,0.0
2010-01-04,ecija,42000,0.0,15.3,0.0
2010-01-04,granada_capital,55000,0.0,13.2,0.0
2010-01-04,jaen_capital,165000,0.0,13.8,0.0
2010-01-04,linares,45000,0.0,13.4,0.0
2010-01-04,lucena,88000,0.0,13.0,0.0
2010-01-04,martos,68000,0.0,12.8,0.0
2010-01-04,sevilla_capital,75000,0.0,15.6,0.0
2010-01-04,ubeda,98000,0.0,11.6,0.0
2010-01-11,antequera,35000,0.0,17.0,0.0
2010-01-11,baeza,72000,0.0,13.2,0.0
2010-01-11,baza,28000,0.0,16.4,0.0
2010-01-11,cabra,52000,0.0,17.4,0.0
2010-01-11,cordoba_capital,140000,0.0,15.5,0.0
2010-01-11,ecija,42000,0.0,16.0,0.0
2010-01-11,granada_capital,55000,0.0,17.4,0.0
2010-01-11,jaen_capital,165000,0.0,15.7,0.0
2010-01-11,linares,45000,0.0,15.1,0.0
2010-01-11,lucena,88000,0.0,16.0,0.0
2010-01-11,martos,68000,0.0,15.3,0.0
2010-01-11,sevilla_capital,75000,0.0,16.4,0.0
2010-01-11,ubeda,98000,0.0,13.4,0.0
2010-01-18,antequera,35000,0.0,17.6,0.0
2010-01-18,baeza,72000,0.0,15.1,0.0
2010-01-18,baza,28000,0.0,17.8,0.0
2010-01-18,cabra,52000,0.0,18.1,0.0
2010-01-18,cordoba_capital,140000,0.0,17.2,0.0
2010-01-18,ecija,42000,0.0,18.8,0.0
2010-01-18,granada_capital,55000,0.0,16.7,0.0
2010-01-18,jaen_capital,165000,0.0,17.7,0.0
2010-01-18,linares,45000,0.0,16.8,0.0
2010-01-18,lucena,88000,0.0,17.5,0.0
2010-01-18,martos,68000,0.0,16.8,0.0
2010-01-18,sevilla_capital,75000,0.0,18.7,0.0
2010-01-18,ubeda,98000,0.0,15.6,0.0
2010-01-25,antequera,35000,0.0,12.2,0.0
2010-01-25,baeza,72000,0.0,9.5,0.0
2010-01-25,baza,28000,0.0,9.0,0.0
2010-01-25,cabra,52000,0.0,12.9,0.0
2010-01-25,cordoba_capital,140000,0.0,14.0,0.0
2010-01-25,ecija,42000,0.0,15.2,0.0
2010-01-25,granada_capital,55000,0.0,10.7,0.0
2010-01-25,jaen_capital,165000,0.0,12.0,0.0
2010-01-25,linares,45000,0.0,12.3,0.0
2010-01-25,lucena,88000,0.0,12.6,0.0
2010-01-25,martos,68000,0.0,11.7,0.0
2010-01-25,sevilla_capital,75000,0.0,15.5,0.0
2010-01-25,ubeda,98000,0.0,9.5,0.0
2010-02-01,antequera,35000,0.0,17.3,0.0
2010-02-01,baeza,72000,0.0,13.5,0.0
2010-02-01,baza,28000,0.0,16.1,0.0
2010-02-01,cabra,52000,0.0,18.3,0.0
2010-02-01,cordoba_capital,140000,0.0,16.8,0.0
2010-02-01,ecija,42000,0.0,17.7,0.0
2010-02-01,granada_capital,55000,0.0,17.1,0.0
2010-02-01,jaen_capital,165000,0.0,16.4,0.0
2010-02-01,linares,45000,0.0,15.3,0.0
2010-02-01,lucena,88000,0.0,17.4,0.0
2010-02-01,martos,68000,0.0,16.0,0.0
2010-02-01,sevilla_capital,75000,0.0,17.2,0.0
2010-02-01,ubeda,98000,0.0,13.8,0.0
2010-02-08,antequera,35000,0.0,13.4,0.0
2010-02-08,baeza,72000,0.0,8.9,0.0
2010-02-08,baza,28000,0.0,11.3,0.0
2010-02-08,cabra,52000,0.0,13.4,0.0
2010-02-08,cordoba_capital,140000,0.0,15.7,0.0
2010-02-08,ecija,42000,0.0,16.6,0.0
2010-02-08,granada_capital,55000,0.0,11.3,0.0
2010-02-08,jaen_capital,165000,0.0,11.5,0.0
2010-02-08,linares,45000,0.0,12.0,0.0
2010-02-08,lucena,88000,0.0,12.9,0.0
2010-02-08,martos,68000,0.0,11.4,0.0
2010-02-08,sevilla_capital,75000,0.0,17.3,0.0
2010-02-08,ubeda,98000,0.0,8.9,0.0
2010-02-15,antequera,35000,0.0,13.7,0.0
2010-02-15,baeza,72000,0.0,11.7,0.0
2010-02-15,baza,28000,0.0,12.4,0.0
2010-02-15,cabra,52000,0.0,14.8,0.0
2010-02-15,cordoba_capital,140000,0.0,15.3,0.0
2010-02-15,ecija,42000,0.0,16.1,0.0
2010-02-15,granada_capital,55000,0.0,11.4,0.0
2010-02-15,jaen_capital,165000,0.0,14.2,0.0
2010-02-15,linares,45000,0.0,14.2,0.0
2010-02-15,lucena,88000,0.0,14.3,0.0
2010-02-15,martos,68000,0.0,13.4,0.0
2010-02-15,sevilla_capital,75000,0.0,17.2,0.0
2010-02-15,ubeda,98000,0.0,12.1,0.0
2010-02-22,antequera,35000,0.0,19.8,0.0
2010-02-22,baeza,72000,0.0,23.4,0.0
2010-02-22,baza,28000,0.0,21.9,0.0
2010-02-22,cabra,52000,0.0,23.8,0.0
2010-02-22,cordoba_capital,140000,0.0,23.8,0.0
2010-02-22,ecija,42000,0.0,23.5,0.0
2010-02-22,granada_capital,55000,0.0,23.2,0.0
2010-02-22,jaen_capital,165000,0.0,25.3,0.0
2010-02-22,linares,45000,0.0,25.9,0.0
2010-02-22,lucena,88000,0.0,22.5,0.0
2010-02-22,martos,68000,0.0,23.7,0.0
2010-02-22,sevilla_capital,75000,0.0,22.7,0.0
2010-02-22,ubeda,98000,0.0,23.3,0.0
2010-03-01,antequera,35000,0.0,15.4,0.0
2010-03-01,baeza,72000,0.0,14.7,0.0
2010-03-01,baza,28000,0.0,13.5,0.0
2010-03-01,cabra,52000,0.0,17.3,0.0
2010-03-01,cordoba_capital,140000,0.0,17.4,0.0
2010-03-01,ecija,42000,0.0,18.7,0.0
2010-03-01,granada_capital,55000,0.0,15.7,0.0
2010-03-01,jaen_capital,165000,0.0,17.4,0.0
2010-03-01,linares,45000,0.0,16.8,0.0
2010-03-01,lucena,88000,0.0,16.2,0.0
