reference_date,aove_price_eur_kg,ipc_monthly,diesel_price_eur,stock_delta_pct,surface_delta_pct
2010-01-04,1.7,0.0,0.0,0.0,0.0
2010-01-11,1.7,86.158,0.682,0.0,0.6
2010-01-18,1.7,86.158,0.682,0.0,0.6
2010-01-25,1.7,86.158,0.682,0.0,0.6
2010-02-01,1.7,86.158,0.682,0.0,0.6
2010-02-08,1.7,86.158,0.682,0.0,0.6
2010-02-15,1.7,86.158,0.682,0.0,0.6
2010-02-22,1.7,86.158,0.682,0.0,0.6
2010-03-01,1.7,86.158,0.682,0.0,0.6
2010-03-08,1.7,86.158,0.682,0.0,0.6
2010-03-15,1.7,86.158,0.682,0.0,0.6
2010-03-22,1.7,86.158,0.682,0.0,0.6
2010-03-29,1.7,86.158,0.682,0.0,0.6
2010-04-05,1.7,86.158,0.682,0.0,0.6
2010-04-12,1.7,87.562,0.682,-2.970297,0.6
2010-04-19,1.7,87.562,0.682,-2.970297,0.6
2010-04-26,1.7,87.562,0.682,-2.970297,0.6
2010-05-03,1.7,87.562,0.682,-2.970297,0.6
2010-05-10,1.7,87.562,0.682,-2.970297,0.6
2010-05-17,1.7,87.562,0.682,-2.970297,0.6
2010-05-24,1.7,87.562,0.682,-2.970297,0.6
2010-05-31,1.7,87.562,0.682,-2.970297,0.6
2010-06-07,1.7,87.562,0.682,-2.970297,0.6
2010-06-14,1.7,87.913,0.682,-2.0833333,0.6
2010-06-21,1.7,87.913,0.682,-2.0833333,0.6
2010-06-28,1.7,87.913,0.682,-2.0833333,0.6
2010-07-05,1.7,87.913,0.682,-2.0833333,0.6
2010-07-12,1.7,87.913,0.682,-2.0833333,0.6
2010-07-19,1.7,87.913,0.682,-2.0833333,0.6
2010-07-26,1.7,87.913,0.682,-2.0833333,0.6
2010-08-02,1.7,87.913,0.682,-2.0833333,0.6
2010-08-09,1.7,87.913,0.682,-2.0833333,0.6
2010-08-16,1.7,87.74,0.682,2.173913,0.6
2010-08-23,1.7,87.74,0.682,2.173913,0.6
2010-08-30,1.7,87.74,0.682,2.173913,0.6
2010-09-06,1.7,87.74,0.682,2.173913,0.6
2010-09-13,1.7,87.74,0.682,2.173913,0.6
2010-09-20,1.7,87.74,0.682,2.173913,0.6
2010-09-27,1.7,87.74,0.682,2.173913,0.6
2010-10-04,1.7,87.74,0.682,2.173913,0.6
2010-10-11,1.68,87.74,0.682,2.173913,0.6
2010-10-18,1.67,87.74,0.682,2.173913,0.6
2010-10-25,1.66,87.74,0.682,2.173913,0.6
2010-11-01,1.65,87.74,0.682,2.173913,0.6
2010-11-08,1.65,87.74,0.682,2.173913,0.6
2010-11-15,1.64,89.084,0.682,6.4814816,0.6
2010-11-22,1.63,89.084,0.682,6.4814816,0.6
2010-11-29,1.63,89.084,0.682,6.4814816,0.6
2010-12-06,1.63,89.084,0.682,6.4814816,0.6
2010-12-13,1.63,89.084,0.682,6.4814816,0.6
2010-12-20,1.62,89.084,0.682,6.4814816,0.6
2010-12-27,1.62,89.084,0.682,6.4814816,0.6
2011-01-03,1.62,89.084,0.682,6.4814816,0.6
2011-01-10,1.62,88.975,0.789,-11.888112,0.7
2011-01-17,1.62,88.975,0.789,-11.888112,0.7
2011-01-24,1.62,88.975,0.789,-11.888112,0.7
2011-01-31,1.63,88.975,0.789,-11.888112,0.7
2011-02-07,1.63,89.088,0.789,-1.9047619,0.7
2011-02-14,1.63,89.088,0.789,-1.9047619,0.7
2011-02-21,1.63,89.088,0.789,-1.9047619,0.7
2011-02-28,1.63,89.088,0.789,-1.9047619,0.7
2011-03-07,1.63,89.754,0.789,-1.9417475,0.7
2011-03-14,1.63,89.754,0.789,-1.9417475,0.7
2011-03-21,1.63,89.754,0.789,-1.9417475,0.7
2011-03-28,1.63,89.754,0.789,-1.9417475,0.7
2011-04-04,1.63,90.871,0.789,-2.970297,0.7
2011-04-11,1.63,90.871,0.789,-2.970297,0.7
2011-04-18,1.63,90.871,0.789,-2.970297,0.7
2011-04-25,1.63,90.871,0.789,-2.970297,0.7
2011-05-02,1.63,90.871,0.789,-2.970297,0.7
2011-05-09,1.64,90.841,0.789,-2.0408163,0.7
2011-05-16,1.64,90.841,0.789,-2.0408163,0.7
2011-05-23,1.64,90.841,0.789,-2.0408163,0.7
2011-05-30,1.65,90.841,0.789,-2.0408163,0.7
2011-06-06,1.65,90.713,0.789,-2.0833333,0.7
2011-06-13,1.65,90.713,0.789,-2.0833333,0.7
2011-06-20,1.65,90.713,0.789,-2.0833333,0.7
2011-06-27,1.66,90.713,0.789,-2.0833333,0.7
2011-07-04,1.66,90.226,0.789,-2.1276596,0.7
2011-07-11,1.66,90.226,0.789,-2.1276596,0.7
2011-07-18,1.67,90.226,0.789,-2.1276596,0.7
2011-07-25,1.68,90.226,0.789,-2.1276596,0.7
2011-08-01,1.69,90.226,0.789,-2.1276596,0.7
2011-08-08,1.7,90.338,0.789,2.173913,0.7
2011-08-15,1.72,90.338,0.789,2.173913,0.7
2011-08-22,1.73,90.338,0.789,2.173913,0.7
2011-08-29,1.75,90.338,0.789,2.173913,0.7
2011-09-05,1.77,90.559,0.789,3.1914895,0.7
2011-09-12,1.78,90.559,0.789,3.1914895,0.7
